	border	transboundary_richness	transboundary_richness_threatened
1	AFG.CHN	155	4
2	AFG.IRN	230	9
3	AFG.PAK	397	13
4	AFG.TJK	317	11
5	AFG.TKM	255	11
6	AFG.UZB	222	9
7	AGO.COD	816	18
8	AGO.COG	484	11
9	AGO.NAM	586	29
10	AGO.ZMB	669	21
11	ALB.GRC	258	4
12	ALB.KOS	224	5
13	ALB.MKD	246	5
14	ALB.MNE	258	6
15	AND.ESP	194	6
16	AND.FRA	194	6
17	ARE.OMN	120	8
18	ARE.SAU	46	3
19	ARG.BOL	616	16
20	ARG.BRA	650	23
21	ARG.CHL	279	9
22	ARG.PRY	699	25
23	ARG.URY	330	4
24	ARM.AZE	322	11
25	ARM.GEO	282	7
26	ARM.IRN	270	8
27	ARM.TUR	267	11
28	AUT.CHE	235	3
29	AUT.CZE	255	6
30	AUT.DEU	255	2
31	AUT.HUN	252	6
32	AUT.ITA	213	2
33	AUT.LIE	200	0
34	AUT.SVK	234	6
35	AUT.SVN	249	2
36	AZE.GEO	289	6
37	AZE.IRN	331	12
38	AZE.RUS	283	8
39	AZE.TUR	254	10
40	BDI.COD	616	15
41	BDI.RWA	715	27
42	BDI.TZA	551	21
43	BEL.DEU	191	1
44	BEL.FRA	229	3
45	BEL.LUX	201	2
46	BEL.NLD	232	3
47	BEN.BFA	405	18
48	BEN.NER	384	18
49	BEN.NGA	556	15
50	BEN.TGO	564	18
51	BFA.CIV	409	15
52	BFA.GHA	416	13
53	BFA.MLI	442	15
54	BFA.NER	398	19
55	BFA.TGO	364	12
56	BGD.IND	582	46
57	BGD.MMR	332	22
58	BGR.GRC	292	11
59	BGR.MKD	254	6
60	BGR.ROU	270	10
61	BGR.SRB	257	6
62	BGR.TUR	238	9
63	BIH.HRV	302	8
64	BIH.MNE	239	4
65	BIH.SRB	251	7
66	BLR.LTU	268	4
67	BLR.LVA	256	3
68	BLR.POL	265	6
69	BLR.RUS	282	8
70	BLR.UKR	282	8
71	BLZ.GTM	439	12
72	BLZ.MEX	363	8
73	BOL.BRA	1100	34
74	BOL.CHL	151	5
75	BOL.PER	1266	35
76	BOL.PRY	484	11
77	BRA.COL	862	19
78	BRA.GUF	743	14
79	BRA.GUY	879	18
80	BRA.PER	878	25
81	BRA.PRY	687	21
82	BRA.SUR	630	13
83	BRA.URY	371	6
84	BRA.VEN	926	17
85	BRN.MYS	523	56
86	BTN.CHN	457	21
87	BTN.IND	737	47
88	BWA.NAM	562	24
89	BWA.ZAF	543	21
90	BWA.ZWE	578	22
91	CAF.CMR	714	19
92	CAF.COD	650	16
93	CAF.COG	540	10
94	CAF.SDN	347	19
95	CAF.SSD	457	19
96	CAF.TCD	440	22
97	CAN.USA	557	21
98	CHE.DEU	235	2
99	CHE.FRA	259	3
100	CHE.ITA	243	4
101	CHE.LIE	203	0
102	CHL.PER	217	17
103	CHN.HKG	255	5
104	CHN.IND	699	37
